,Bigram,Count
1065,duas vezes,189
1068,Romero Jucá,189
1059,Nova York,189
1061,Região TRF4,189
1060,Geraldo Alckmin,189
1093,Antonio Palocci,186
1094,armas nucleares,186
1108,último dia,184
1111,febre amarela,184
1124,rede social,182
1133,República PGR,181
1139,Fernando Henrique,180
1144,500 mil,180
1149,Raquel Dodge,179
1164,informações sobre,177
1183,Reino Unido,176
1192,dez anos,174
1203,Cristiano Zanin,173
1204,presidente Temer,173
1212,direitos humanos,172
1209,Direitos Humanos,172
1222,Jair Bolsonaro,171
1226,contra Lula,171
1227,Roberto Teixeira,171
1233,Eliseu Padilha,170
1235,presidente americano,170
1240,ter recebido,169
1241,Poder Judiciário,169
1256,desta reportagem,168
1263,presidente Lula,167
1273,100 mil,166
1278,nesta terça,166
1286,principais notícias,165
1287,dia beminformado,165
1299,condução coercitiva,164
1314,Teori Zavascki,163
1319,Universidade Federal,162
1336,governo Dilma,161
1341,Eleitoral TSE,160
1343,falou sobre,160
1346,tarde desta,160
1352,Superior Tribunal,159
1384,dia seguinte,157
1389,Maia DEMRJ,157
1390,Cunha PMDBRJ,157
1379,Nações Unidas,157
1395,Espírito Santo,156
1396,Belo Horizonte,156
1398,campanha eleitoral,155
1399,disse ter,155
1429,Justiça Eleitoral,154
1421,ser preso,154
1422,Paulo Roberto,154
1436,Relações Exteriores,153
1452,Mônica Moura,153
1461,Henrique Meirelles,152
1466,Geddel Vieira,152
1467,prisão domiciliar,151
1485,deveria ser,149
1487,neste momento,149
1521,João Vaccari,148
1530,Câmara Rodrigo,147
1536,José Dirceu,147
1539,falar sobre,146
1541,Ricardo Saud,146
1552,Neves PSDBMG,145
1558,Zanin Martins,145
1565,Andrade Gutierrez,145
1583,medida provisória,143
1584,longo prazo,142
1599,Aurélio Mello,141
1602,Conselho Nacional,141
1601,nesta semana,141
1617,alguma coisa,140
1621,desta quartafeira,140
1633,Boa noite,139
1638,ministro Gilmar,139
1660,três meses,137
1663,Banco Central,137
1676,Eunício Oliveira,137
1697,nesta quarta,136
1709,muita gente,135
1710,noite Aqui,135
1714,Assembleia Legislativa,135
1718,qualquer tipo,135
1720,Ainda segundo,135
1722,ser candidato,135
1756,Rádio Eldorado,133
1764,Sérgio Machado,133
1745,empresário Joesley,133
1767,Roberto Barroso,132
1768,chapa DilmaTemer,132
1774,Gleisi Hoffmann,132
1789,dois países,131
1795,Guido Mantega,131
1799,campanhas eleitorais,130
1807,ouvir clique,130
1837,neste sábado,129
1825,policiais militares,129
1822,dois meses,129
1818,União Europeia,129
1851,após ser,128
1858,noite desta,128
1859,caixa dois,128
1875,crime organizado,127
1884,crise política,126
1891,ser feito,126
1896,outras pessoas,126
1915,Por outro,125
1903,desta quintafeira,125
1907,intervenção federal,125
1939,desta terçafeira,124
1935,Jornal Eldorado,124
1953,poderá ser,123
1959,Zona Sul,123
1960,desta sextafeira,123
1962,Estado Islâmico,123
1954,agentes públicos,123
1985,Carlos Bumlai,122
2002,presidente nacional,122
1999,10a Vara,122
1994,fazem parte,122
1977,deveria ter,122
1968,Sergio Moro,122
1966,oito anos,122
1975,poderia ter,122
2015,play Para,121
2023,dinheiro público,121
2028,Herman Benjamin,121
2040,Caixa Econômica,120
2038,afirmou ainda,120
2065,Lúcio Funaro,119
2086,Gebran Neto,118
2093,nesta quinta,118
2100,reforma trabalhista,118
2105,Santa Catarina,118
2107,Receita Federal,118
2109,diz ter,118
2126,neste domingo,117
2122,alegações finais,117
2120,logo após,117
2139,vantagem indevida,116
2151,Rodrigo Rocha,116
2154,contas públicas,116
2170,base aliada,115
2175,colaboração premiada,115
2212,13a Vara,114
2209,questionado sobre,114
2206,aqui Abaixo,114
2193,segundo turno,114
2192,Ribeirão Preto,114
2220,Luís Roberto,113
2242,Boa Vista,113
2247,João Doria,112
2254,pouco tempo,112
2262,Temer disse,112
2276,teste nuclear,112
2306,Calheiros PMDBAL,111
2304,Vaccari Neto,111
2290,Roberto Costa,111
2282,boa parte,111
2297,investigação sobre,111
2308,mil habitantes,110
2322,comentário Eldorado,110
2327,míssil balístico,110
2329,dois dias,110
2331,crise econômica,110
2359,Melo Filho,109
2361,sete anos,109
2355,Luiz Fux,109
2358,deve ter,109
2345,vantagens indevidas,109
2367,Nos últimos,108
2370,novo presidente,108
2372,pode fazer,108
2386,prisão temporária,108
2388,delações premiadas,108
2421,Dona Marisa,107
2418,Cristiane Brasil,107
2398,vai fazer,107
2435,Wesley Batista,106
2438,povo brasileiro,106
2439,desta segundafeira,106
2459,outros dois,105
2463,Henrique Cardoso,105
2483,últimos dias,105
2519,vídeo acima,104
2494,Campo Grande,104
2513,Econômica Federal,104
2575,Justiça STJ,102
2579,Ficha Limpa,102
2578,líder nortecoreano,102
2560,opinião pública,102
2572,Ele afirmou,102
2564,7h30m Para,102
2565,quer dizer,102
2591,após ter,101
2603,afirmou nesta,101
2612,ter feito,101
2614,nota divulgada,101
2617,decisão judicial,101
2623,Carne Fraca,101
2634,diz respeito,100
2638,Lula disse,100
2648,deverá ser,100
2651,Câmara Eduardo,100
2656,Por meio,99
2720,programa nuclear,98
2704,classe média,98
2716,nesta sexta,98
2754,Fachin relator,97
2768,saúde pública,97
2766,Região Metropolitana,97
2734,primeiro lugar,97
2751,Suprema Corte,97
2749,ministra Cármen,97
2744,São Francisco,97
2778,União Soviética,96
2794,Veja abaixo,96
2804,grande parte,95
2815,administração pública,95
2820,Nestor Cerveró,95
2822,segunda denúncia,95
2833,três vezes,95
2834,eleição presidencial,95
2839,cofres públicos,95
2870,ministro Luiz,94
2859,precisam ser,94
2867,seis anos,94
2907,desse tipo,93
2885,Não sei,93
2896,Dias Toffoli,93
2926,José Eduardo,92
2933,2017 Boa,92
2946,Luiz Edson,92
2948,Desenvolvimento Econômico,92
2953,final desta,92
2954,ministro Teori,92
2977,haviam sido,91
2980,regime fechado,91
2984,Luiz Fernando,91
2990,Renato Duque,91
3003,dias após,91
3010,comunidade internacional,91
3011,Leia abaixo,91
3039,Por fim,90
3044,300 milhões,90
3025,Ele diz,90
3028,Mesmo assim,90
3017,Constituição Federal,90
3046,Agência Nacional,89
3054,operação Lava,89
3068,cinco dias,89
3076,Grupo Odebrecht,89
3083,Rosa Weber,89
3084,Rio Branco,89
3089,duas horas,89
3100,servidores públicos,89
3103,dias antes,89
3139,quatro meses,88
3165,reforma política,87
3189,possa ser,87
3181,Torquato Jardim,87
3175,deputado estadual,87
3172,José Sarney,87
3148,ter acesso,87
3152,governo Lula,87
3149,Barack Obama,87
3159,próximos dias,87
3231,desta quarta,86
3242,últimos meses,86
3232,governo brasileiro,86
3239,Zona Oeste,86
3225,podem ter,86
3206,mesma forma,86
3194,ser feita,86
3262,disse nesta,85
3265,Questionado sobre,85
3279,Primeira Turma,85
3282,Por exemplo,85
3314,vai acontecer,84
3336,três dias,84
3332,pessoas morreram,84
3330,vídeo abaixo,84
3324,Associação Nacional,84
3296,Carlos Marun,84
3286,ministro Marco,84
3300,nova denúncia,84
3285,medidas cautelares,84
3380,deputados federais,83
3364,capital paulista,83
3382,poder político,83
3365,Isso porque,83
3361,Fazenda Henrique,83
3347,processo contra,83
3345,desta vez,83
3341,sociedade brasileira,83
3389,Meio Ambiente,82
3398,João Pedro,82
3399,deputado cassado,82
3400,prestou depoimento,82
3415,pode levar,82
3467,qualquer ato,81
3456,nesse momento,81
3469,residência oficial,81
3463,ser humano,81
3447,política externa,81
3453,então ministro,81
3451,naquele momento,81
3440,ações penais,81
3484,algum tipo,80
3504,recursos públicos,80
3508,várias vezes,80
3510,juiz Sergio,80
3516,José Serra,80
3520,Marcelo Bretas,80
3503,corrupção ativa,80
3535,sistema prisional,79
3540,Força Nacional,79
3545,Eduardo Alves,79
3563,ensino médio,79
3598,nesta segunda,78
3614,Emílio Odebrecht,78
3607,violência contra,78
3601,Aloysio Nunes,78
3596,Ainda assim,78
3586,fala sobre,78
3567,meio ambiente,78
3587,têm sido,78
3633,atual presidente,77
3640,muita coisa,77
3646,Raul Jungmann,77
3648,New York,77
3653,Justiça CCJ,77
3656,primeiro dia,77
3667,divulgou nota,77
3677,Paulo Bernardo,77
3679,campanha presidencial,77
3760,anos atrás,76
3740,Senado Renan,76
3766,fake news,76
3742,movimentos sociais,76
3756,exdeputado Eduardo,76
3733,Henrique Eduardo,76
3713,poderiam ser,76
3704,Desde então,76
3714,Zona Norte,76
3770,tornozeleira eletrônica,75
3781,empreiteira OAS,75
3801,mísseis balísticos,75
3802,luta contra,75
3811,americano Donald,75
3821,vida pública,75
3865,exPresidente Lula,74
3873,José Roberto,74
3871,Código Penal,74
3870,mês passado,74
3833,ano anterior,74
3857,salário mínimo,74
3847,primeiro momento,74
3834,vem sendo,74
3936,entrevista coletiva,73
3948,Vladimir Putin,73
3942,Medida Provisória,73
3917,pecuarista José,73
3914,Moro responsável,73
3892,ditadura militar,73
3986,200 mil,72
4004,ministro Herman,72
4000,Força Aérea,72
3996,Operação Zelotes,72
4002,Vara Criminal,72
3985,exministro Antonio,72
3982,Getúlio Vargas,72
3977,Antônio Palocci,72
3975,prestar depoimento,72
3962,deste domingo,72
4020,partidos políticos,71
4030,Ciro Gomes,71
4049,políticas públicas,71
4051,Pelo menos,71
4053,últimas semanas,71
4066,Oliveira PMDBCE,71
4115,Operações Estruturadas,70
4158,Guerra Fria,70
4145,governo estadual,70
4118,ser questionado,70
4103,Não existe,70
4113,nove anos,70
4091,discussão sobre,70
4110,qualquer coisa,70
4177,decisão sobre,69
4184,cada dia,69
4206,vai ficar,69
4207,preso desde,69
4220,Temer afirmou,69
4225,duas semanas,69
4284,Por causa,68
4314,dona Marisa,68
4303,detalhes sobre,68
4299,frigorífico JBS,68
4290,nortecoreano Kim,68
4285,outra pessoa,68
4293,prisão após,68
4282,senadora Gleisi,68
4270,dois filhos,68
4264,gente vai,68
4255,alguns casos,68
4254,poder público,68
4281,deste sábado,68
4367,Ricardo Lewandowski,67
4388,Jucá PMDBRR,67
4387,daquele ano,67
4383,março deste,67
4381,outras coisas,67
4372,debate sobre,67
4363,mortes violentas,67
4366,qualquer outra,67
4352,denúncia apresentada,67
4348,nesse sentido,67
4335,Pedro Gebran,67
4331,Fernando Haddad,67
4431,anos após,66
4452,ingressos custam,66
4437,próximo ano,66
4402,exprimeiradama Marisa,66
4423,presidente Donald,66
4412,perseguição política,66
4463,deputado Jair,65
4466,vai recorrer,65
4471,Mais cedo,65
4477,nova sede,65
4506,equipe econômica,65
4511,pra mim,65
4465,notas fiscais,65
4575,comissão especial,64
4585,exgovernador Sérgio,64
4584,alguma forma,64
4576,Alckmin PSDB,64
4567,Até agora,64
4563,deveriam ser,64
4558,Bolsa Família,64
4545,Diário Oficial,64
4666,Segunda Turma,63
4703,península coreana,63
4697,curto prazo,63
4692,senador afastado,63
4681,Cláudio Melo,63
4676,senador Romero,63
4633,ser investigado,63
4662,violência doméstica,63
4643,partir daí,63
4639,local onde,63
4606,segundo dados,63
4628,desde então,63
4773,última sextafeira,62
4813,Roberto Jefferson,62
4804,regime nortecoreano,62
4789,última vez,62
4787,Associação Brasileira,62
4786,nesse caso,62
4782,investigações sobre,62
4778,anos 1990,62
4762,Senado Federal,62
4732,desta terça,62
4722,afirmou ter,62
4719,Leandro Paulsen,62
4714,qualquer outro,62
4707,nesta manhã,62
4759,algum tempo,62
4873,dia após,61
4903,trabalho escravo,61
4902,crise financeira,61
4890,Jogos Olímpicos,61
4889,Processo Penal,61
4881,desta quinta,61
4907,anos morreu,61
4870,nenhum tipo,61
4860,Apesar disso,61
4846,mesma coisa,61
4844,última semana,61
4837,muitas pessoas,61
4834,neste caso,61
4996,Jean Wyllys,60
4993,fevereiro deste,60
4988,próxima semana,60
4985,novo ministro,60
4984,ficaram feridas,60
4971,Câmara Municipal,60
4969,qualquer forma,60
4961,100 milhões,60
4936,Marcelo Miller,60
4930,Para mim,60
4929,vai dar,60
4926,República Raquel,60
4919,Nicolás Maduro,60
5072,Não podemos,59
5090,Senado Eunício,59
5084,qualquer momento,59
5079,Lindbergh Farias,59
5074,Andréia Sadi,59
5055,Organização Mundial,59
5009,receber propina,59
5023,Santa Bárbara,59
5016,Pode ser,59
5015,Fernando Pezão,59
5010,Paulo Okamotto,59
5024,últimos dois,59
5180,York Times,58
5220,Administração Penitenciária,58
5219,armas químicas,58
5215,ministro disse,58
5210,Com base,58
5148,Banco Nacional,58
5142,base aérea,58
5133,diz ainda,58
5112,primeiro turno,58
5111,Jornal Nacional,58
5107,sociedade civil,58
5278,Conselho Tutelar,57
5313,senador Renan,57
5312,Henrique Alves,57
5309,Lula afirmou,57
5301,outras duas,57
5292,acusações contra,57
5236,terem sido,57
5265,Antônio Carlos,57
5262,negou ter,57
5250,nenhum momento,57
5246,tempo todo,57
5243,denúncias contra,57
5366,crimes contra,56
5434,maior número,56
5431,ajuste fiscal,56
5403,dinheiro vivo,56
5393,Fernando Segovia,56
5377,tribunais superiores,56
5364,poderão ser,56
5356,Fernando Bittar,56
5343,Nesse caso,56
5335,300 mil,56
5334,último ano,56
5332,Instituto Brasileiro,56
5509,Paulo Geraldo,55
5541,Delcídio Amaral,55
5530,Aviação Civil,55
5525,policial militar,55
5524,ser considerado,55
5522,região metropolitana,55
5519,menos três,55
5518,preciso ter,55
5513,incentivos fiscais,55
5512,mudanças climáticas,55
5456,Todo mundo,55
5488,exPresidente Luiz,55
5487,apartamento vizinho,55
5484,contratos firmados,55
5477,nesse processo,55
5474,ordem pública,55
5473,madrugada desta,55
5464,única coisa,55
5459,casa onde,55
5457,dez dias,55
5447,expresidente Fernando,55
5679,São José,54
5671,Ouro Verde,54
5670,Fernando Pimentel,54
5659,interesse público,54
5653,duas pessoas,54
5637,Mauro Marcondes,54
5638,Trump disse,54
5625,segurança nacional,54
5615,apartamento triplex,54
5606,ser usado,54
5576,algum momento,54
5566,abrir mão,54
5565,Bolsonaro PSCRJ,54
5562,Poder Executivo,54
5814,janeiro deste,53
5812,pouco antes,53
5795,outros seis,53
5787,Monica Moura,53
5786,Operação Carne,53
5776,JBS Joesley,53
5758,Ele afirma,53
5767,exministro Geddel,53
5764,Defensoria Pública,53
5744,Lula diz,53
5750,alguns dias,53
5742,eleições diretas,53
5729,Social BNDES,53
5720,poucos dias,53
5715,política brasileira,53
5708,Temer PMDB,53
5697,Eduardo Cardozo,53
5748,meses antes,53
5912,carteira assinada,52
5959,Ricardo Leite,52
5957,balístico intercontinental,52
5955,falsidade ideológica,52
5949,Lúcio Vieira,52
5945,primeira fase,52
5943,deste mês,52
5936,dessa forma,52
5930,OAS Empreendimentos,52
5901,governo americano,52
5900,Temer diz,52
5898,desta sexta,52
5880,ter cometido,52
5877,Ainda conforme,52
5872,mundo inteiro,52
5905,órgãos públicos,52
5830,Luciano Huck,52
6056,acabou sendo,51
6075,outras áreas,51
6065,três pessoas,51
6067,transporte público,51
6103,grande maioria,51
6077,Por volta,51
6083,vai continuar,51
6101,LEIA MAIS,51
6058,pode estar,51
6004,anos 1980,51
6053,primeiro ano,51
6040,pode haver,51
6033,quatro pessoas,51
6026,mercado financeiro,51
6013,oito meses,51
6005,Oriente Médio,51
5996,próximo dia,51
5964,Andrea Neves,51
6044,Moon Jaein,51
6217,classe política,50
6202,havia dito,50
6204,Aldemir Bendine,50
6209,idade mínima,50
6241,recuperação judicial,50
6220,zona sul,50
6226,Odebrecht pagou,50
6165,governo Michel,50
6239,ataque químico,50
6174,ser julgado,50
6230,valor total,50
6164,República Michel,50
6157,800 mil,50
6156,pode ficar,50
6146,Secretaria Municipal,50
6142,policiais federais,50
6141,Neste ano,50
6134,decisão liminar,50
6116,zona rural,50
6112,regime militar,50
6111,crimes cometidos,50
6163,Mais tarde,50
6392,STF Cármen,49
6363,Fórum Mundial,49
6374,segunda vez,49
6377,ano seguinte,49
6388,esquema criminoso,49
6404,Jorge Picciani,49
6394,guerra nuclear,49
6395,lesão corporal,49
6396,São João,49
6399,governo sírio,49
6400,metros quadrados,49
6368,Estado Democrático,49
6373,governador Geraldo,49
6353,início deste,49
6280,assédio sexual,49
6352,Logo após,49
6261,eleições presidenciais,49
6265,parece ter,49
6268,advogado Cristiano,49
6274,alguns anos,49
6256,Marina Silva,49
6299,irmãos Batista,49
6306,região central,49
6315,Federal Criminal,49
6329,possível ver,49
6339,estado grave,49
6479,governo vai,48
6542,primeiro semestre,48
6536,cenário político,48
6534,testes nucleares,48
6530,desde 2015,48
6525,Com relação,48
6523,entrevista exclusiva,48
6519,Joesley disse,48
6505,muitos anos,48
6496,notícias falsas,48
6489,Leo Pinheiro,48
6473,dúvidas sobre,48
6416,anos antes,48
6460,empresário Marcelo,48
6458,atual governo,48
6441,advogado Roberto,48
6440,Deltan Dallagnol,48
6429,Segunda Guerra,48
6426,Fidel Castro,48
6421,três desembargadores,48
6418,ainda pode,48
6471,outros partidos,48
6708,certa forma,47
6666,Osmar Serraglio,47
6685,Luiz Eduardo,47
6690,Alberto Youssef,47
6701,Previdência Social,47
6662,Marcello Miller,47
6712,Médico Legal,47
6713,Carlos Eduardo,47
6716,Instituto Nacional,47
6717,Toninho Drummond,47
6665,Uma vez,47
6556,Frederico Pacheco,47
6658,Neste momento,47
6653,Isso significa,47
6644,qualquer relação,47
6634,QUE DEFENDE,47
6626,Braga Netto,47
6609,Mesa Diretora,47
6604,Você acha,47
6571,segundo lugar,47
6561,mil quilômetros,47
6654,serviço público,47
6835,nova lei,46
6811,exdeputado federal,46
6816,cinco meses,46
6825,durante todo,46
6807,deixou claro,46
6829,prefeito João,46
6864,decidir sobre,46
6841,após condenação,46
6845,Odebrecht disse,46
6860,nove meses,46
6863,conseguiu contato,46
6866,Tasso Jereissati,46
6871,grandes empresas,46
6808,ação contra,46
6760,serviços públicos,46
6792,anos 2000,46
6748,nunca recebeu,46
6721,faz sentido,46
6723,segundo mandato,46
6734,Ele ainda,46
6736,Doria PSDB,46
6737,litoral paulista,46
6789,Nós vamos,46
6752,manifestar sobre,46
6757,ter visto,46
6774,qualquer pessoa,46
6778,ser aprovada,46
6788,exministro José,46
6753,continua sendo,46
7029,governos Lula,45
6986,Souza Oliveira,45
6991,200 milhões,45
6992,Jaques Wagner,45
7010,medidas provisórias,45
7012,cassado Eduardo,45
7025,inquérito policial,45
7041,Gilberto Kassab,45
7036,Nesta quarta,45
7040,sob sigilo,45
7044,passiva lavagem,45
7050,setor privado,45
7059,Letícia Lula,45
6978,país vizinho,45
7060,Instituto Médico,45
6982,disse Temer,45
6977,Justiça Torquato,45
6928,neste mês,45
6969,corrupção lavagem,45
6884,Público Estadual,45
6893,tão grande,45
6901,Estado brasileiro,45
6922,pediu desculpas,45
6926,algumas pessoas,45
6912,fazia parte,45
6929,última atualização,45
6930,facções criminosas,45
6933,Padilha Casa,45
6934,STF ministra,45
6942,ainda maior,45
6959,intervenção militar,45
7230,quatro dias,44
7175,partido político,44
7177,Unidos Donald,44
7199,Randolfe Rodrigues,44
7207,Ele vai,44
7224,Fernando Collor,44
7227,Constituição PEC,44
7262,Barata Filho,44
7233,ministro Luís,44
7237,Eike Batista,44
7159,contas bancárias,44
7252,processo eleitoral,44
7253,vários países,44
7259,Guerra Mundial,44
7261,BBC Mundo,44
7164,fazer parte,44
7245,mil reais,44
7157,caso triplex,44
7110,outro processo,44
7156,país asiático,44
7072,rede pública,44
7077,parece ser,44
7079,Neste caso,44
7093,fase final,44
7102,primeiros meses,44
7105,mundo todo,44
7096,pessoas têm,44
7112,dois lados,44
7116,Franco SecretariaGeral,44
7126,recebeu propina,44
7128,Aloizio Mercadante,44
7136,próprio presidente,44
7146,Civil Eliseu,44
7155,Rex Tillerson,44
7418,primeira denúncia,43
7383,abuso sexual,43
7394,meses após,43
7400,grave crise,43
7401,Santa Cruz,43
7409,juiz Moro,43
7415,vão ser,43
7416,decisão final,43
7374,ainda assim,43
7423,empreiteira Odebrecht,43
7436,via caixa,43
7440,sessão desta,43
7444,dois homens,43
7446,Partido Comunista,43
7451,Mas segundo,43
7455,presidente interino,43
7459,Luiz Carlos,43
7375,sistema político,43
7267,Operação Patmos,43
7372,Joaquim Barbosa,43
7331,funcionários públicos,43
7370,informação sobre,43
7276,anos Ele,43
7278,STF Gilmar,43
7293,seres humanos,43
7306,Grande São,43
7307,regime semiaberto,43
7314,Nossa Senhora,43
7269,150 mil,43
7332,Aurélio Garcia,43
7340,desde setembro,43
7348,Até então,43
7350,João Pessoa,43
7354,600 mil,43
7363,Lava Jato”,43
7335,economia brasileira,43
7650,novas sanções,42
7609,últimas décadas,42
7614,serviços prestados,42
7615,deputado Rodrigo,42
7636,pessoas físicas,42
7638,ainda nesta,42
7644,Pedro Corrêa,42
7670,Desta vez,42
7665,tendo sido,42
7666,segundo grau,42
7668,Hillary Clinton,42
7673,Ana Carolina,42
7675,recolhimento domiciliar,42
7679,Cambridge Analytica,42
7594,primeiro grau,42
7606,gente precisa,42
7602,Relações Institucionais,42
7499,Uma mulher,42
7532,dois processos,42
7592,ter ficado,42
7467,Muitas vezes,42
7469,quatro vezes,42
7489,policiais civis,42
7494,irmãos Joesley,42
7505,pode chegar,42
7510,conta própria,42
7533,associação criminosa,42
7534,exministro Antônio,42
7536,diversas vezes,42
7547,provas contra,42
7568,Quer dizer,42
7577,novas regras,42
7586,outros estados,42
7831,agentes penitenciários,41
7854,segundo semestre,41
7849,afastado Aécio,41
7848,outras empresas,41
7810,ato ilícito,41
7826,afirma ter,41
7818,processo penal,41
7860,poder econômico,41
7858,próximas eleições,41
7905,Jacob Barata,41
7861,União TCU,41
7867,150 milhões,41
7868,dois casos,41
7874,maio deste,41
7880,Arábia Saudita,41
7895,morreu após,41
7900,muitos outros,41
7903,Hill House,41
7812,quer ser,41
7776,Central Única,41
7804,ano após,41
7742,ser alvo,41
7695,iniciativa privada,41
7697,Paulo onde,41
7700,Por enquanto,41
7726,Muita gente,41
7732,diz trecho,41
7738,dia antes,41
7741,atualização desta,41
7723,pode acontecer,41
7752,crescimento econômico,41
7768,exsenador Delcídio,41
7757,julho deste,41
7801,direitos políticos,41
7687,grande número,41
7803,Lula pode,41
7765,presidente disse,41
7760,reforma tributária,41
8046,Ela conta,40
8135,desde 2014,40
8116,decisões judiciais,40
8109,Minha Vida,40
8103,obras públicas,40
8087,400 mil,40
8073,pena após,40
8070,Nesse sentido,40
8068,naquela época,40
8053,veja abaixo,40
8132,ampla defesa,40
8052,Conselho Federal,40
8039,danos morais,40
7997,Santa Casa,40
8026,Não pode,40
7930,três horas,40
7954,Deputados Rodrigo,40
7992,Paulo Melo,40
7910,180 dias,40
7998,expresidente nega,40
8002,votos necessários,40
8012,Até porque,40
8021,duas denúncias,40
8285,Não vou,39
8295,fez parte,39
8296,pode dizer,39
8306,Ele falou,39
8318,aquecimento global,39
8320,empresário disse,39
8323,afirma ainda,39
8327,Camargo Corrêa,39
8331,eleição indireta,39
8358,carreira política,39
8334,onde mora,39
8335,deputada federal,39
8340,Sete Brasil,39
8345,longo alcance,39
8352,medida cautelar,39
8361,Jorge Viana,39
8362,duas décadas,39
8377,exprimeira dama,39
8381,juiz Marcelo,39
8286,Governo Federal,39
8333,grupo político,39
8284,decoro parlamentar,39
8209,ainda vai,39
8146,tempo real,39
8153,Lula recebeu,39
8154,acervo presidencial,39
8157,além disso,39
8160,quase todos,39
8183,posso dizer,39
8192,Paulo Maluf,39
8195,disse Lula,39
8198,doleiro Lúcio,39
8273,cientista político,39
8223,acusação contra,39
8226,Marcelo Crivella,39
8230,STF decidiu,39
8234,centrais sindicais,39
8237,presidente sulcoreano,39
8241,deu certo,39
8250,Comércio Exterior,39
8271,Loures PMDBPR,39
8225,ser visto,39
8601,Casa Minha,38
8619,Silva Júnior,38
8606,patrimônio público,38
8602,articulação política,38
8548,possa ter,38
8589,alguns pontos,38
8576,Nesta terçafeira,38
8564,Brasil precisa,38
8628,prisão contra,38
8626,Dessa forma,38
8641,Bashar alAssad,38
8629,sigilo bancário,38
8631,duas Coreias,38
8639,diz ser,38
8643,horas após,38
8645,ensino superior,38
8646,Edinho Silva,38
8651,Legal IML,38
8653,São Carlos,38
8537,outro trecho,38
8545,deverão ser,38
8539,Ele conta,38
8433,contra mim,38
8464,havia pedido,38
8532,Primeiro Comando,38
8395,mundo político,38
8414,Por quê,38
8416,República Dominicana,38
8418,outra coisa,38
8445,havia feito,38
8455,menos dois,38
8456,principais trechos,38
8458,naquele ano,38
8390,baixa renda,38
8477,ter ocorrido,38
8502,Buenos Aires,38
8478,dessas pessoas,38
8513,penal contra,38
8511,The New,38
8529,Nesta semana,38
8501,governo Trump,38
8491,desta segunda,38
8489,Brasil PTBRJ,38
8884,território americano,37
8815,deixar claro,37
8826,Crime Organizado,37
8830,Baixada Fluminense,37
8836,Comunicação Social,37
8838,propina paga,37
8844,votar contra,37
8846,cargos públicos,37
8864,conta corrente,37
8880,Minha Casa,37
8811,expresidente José,37
